"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              10/05/2022 09:00 - 10/05/2022 10:00,"BZN|DE-LU","PT60M",210.25,"EUR"
              10/05/2022 10:00 - 10/05/2022 11:00,"BZN|DE-LU","PT60M",185.00,"EUR"
              10/05/2022 11:00 - 10/05/2022 12:00,"BZN|DE-LU","PT60M",165.46,"EUR"
              10/05/2022 12:00 - 10/05/2022 13:00,"BZN|DE-LU","PT60M",106.90,"EUR"
              10/05/2022 13:00 - 10/05/2022 14:00,"BZN|DE-LU","PT60M",88.44,"EUR"
              10/05/2022 14:00 - 10/05/2022 15:00,"BZN|DE-LU","PT60M",78.65,"EUR"
              10/05/2022 15:00 - 10/05/2022 16:00,"BZN|DE-LU","PT60M",88.49,"EUR"
              10/05/2022 16:00 - 10/05/2022 17:00,"BZN|DE-LU","PT60M",113.58,"EUR"
              10/05/2022 17:00 - 10/05/2022 18:00,"BZN|DE-LU","PT60M",184.43,"EUR"
              10/05/2022 18:00 - 10/05/2022 19:00,"BZN|DE-LU","PT60M",209.78,"EUR"
              10/05/2022 19:00 - 10/05/2022 20:00,"BZN|DE-LU","PT60M",234.92,"EUR"
              10/05/2022 20:00 - 10/05/2022 21:00,"BZN|DE-LU","PT60M",239.95,"EUR"
              10/05/2022 21:00 - 10/05/2022 22:00,"BZN|DE-LU","PT60M",236.96,"EUR"
              10/05/2022 22:00 - 10/05/2022 23:00,"BZN|DE-LU","PT60M",229.09,"EUR"
              10/05/2022 23:00 - 11/05/2022 00:00,"BZN|DE-LU","PT60M",201.49,"EUR"
              11/05/2022 00:00 - 11/05/2022 01:00,"BZN|DE-LU","PT60M",207.15,"EUR"
              11/05/2022 01:00 - 11/05/2022 02:00,"BZN|DE-LU","PT60M",192.80,"EUR"
              11/05/2022 02:00 - 11/05/2022 03:00,"BZN|DE-LU","PT60M",185.50,"EUR"
              11/05/2022 03:00 - 11/05/2022 04:00,"BZN|DE-LU","PT60M",179.00,"EUR"
              11/05/2022 04:00 - 11/05/2022 05:00,"BZN|DE-LU","PT60M",179.46,"EUR"
              11/05/2022 05:00 - 11/05/2022 06:00,"BZN|DE-LU","PT60M",185.72,"EUR"
              11/05/2022 06:00 - 11/05/2022 07:00,"BZN|DE-LU","PT60M",216.37,"EUR"
              11/05/2022 07:00 - 11/05/2022 08:00,"BZN|DE-LU","PT60M",233.22,"EUR"
              11/05/2022 08:00 - 11/05/2022 09:00,"BZN|DE-LU","PT60M",224.00,"EUR"
              11/05/2022 09:00 - 11/05/2022 10:00,"BZN|DE-LU","PT60M",200.00,"EUR"
              11/05/2022 10:00 - 11/05/2022 11:00,"BZN|DE-LU","PT60M",148.46,"EUR"
              11/05/2022 11:00 - 11/05/2022 12:00,"BZN|DE-LU","PT60M",95.19,"EUR"
              11/05/2022 12:00 - 11/05/2022 13:00,"BZN|DE-LU","PT60M",70.10,"EUR"
              11/05/2022 13:00 - 11/05/2022 14:00,"BZN|DE-LU","PT60M",25.23,"EUR"
              11/05/2022 14:00 - 11/05/2022 15:00,"BZN|DE-LU","PT60M",3.74,"EUR"
              11/05/2022 15:00 - 11/05/2022 16:00,"BZN|DE-LU","PT60M",31.26,"EUR"
              11/05/2022 16:00 - 11/05/2022 17:00,"BZN|DE-LU","PT60M",79.05,"EUR"
              11/05/2022 17:00 - 11/05/2022 18:00,"BZN|DE-LU","PT60M",117.60,"EUR"
              11/05/2022 18:00 - 11/05/2022 19:00,"BZN|DE-LU","PT60M",184.18,"EUR"
              11/05/2022 19:00 - 11/05/2022 20:00,"BZN|DE-LU","PT60M",219.30,"EUR"
              11/05/2022 20:00 - 11/05/2022 21:00,"BZN|DE-LU","PT60M",221.93,"EUR"
              11/05/2022 21:00 - 11/05/2022 22:00,"BZN|DE-LU","PT60M",220.00,"EUR"
              11/05/2022 22:00 - 11/05/2022 23:00,"BZN|DE-LU","PT60M",206.01,"EUR"
              11/05/2022 23:00 - 12/05/2022 00:00,"BZN|DE-LU","PT60M",192.93,"EUR"
              12/05/2022 00:00 - 12/05/2022 01:00,"BZN|DE-LU","PT60M",149.90,"EUR"
              12/05/2022 01:00 - 12/05/2022 02:00,"BZN|DE-LU","PT60M",145.01,"EUR"
              12/05/2022 02:00 - 12/05/2022 03:00,"BZN|DE-LU","PT60M",140.01,"EUR"
              12/05/2022 03:00 - 12/05/2022 04:00,"BZN|DE-LU","PT60M",145.66,"EUR"
              12/05/2022 04:00 - 12/05/2022 05:00,"BZN|DE-LU","PT60M",148.91,"EUR"
              12/05/2022 05:00 - 12/05/2022 06:00,"BZN|DE-LU","PT60M",172.42,"EUR"
